Output format is csv.
nation,o_year,sum_profit
ALGERIA                  ,1998,539481761.1599
ALGERIA                  ,1997,927437996.5534
ALGERIA                  ,1996,931055752.6321
ALGERIA                  ,1995,936659726.9813
ALGERIA                  ,1994,936399224.2132
ALGERIA                  ,1993,932186877.1235
ALGERIA                  ,1992,938242696.6901
ARGENTINA                ,1998,552719886.6470
ARGENTINA                ,1997,939797785.8273
ARGENTINA                ,1996,934566870.7543
ARGENTINA                ,1995,945449762.7007
ARGENTINA                ,1994,932296736.1292
ARGENTINA                ,1993,936279524.3364
ARGENTINA                ,1992,945988023.0467
BRAZIL                   ,1998,534781361.3264
BRAZIL                   ,1997,933392235.5949
BRAZIL                   ,1996,935344319.1490
BRAZIL                   ,1995,929733805.1034
BRAZIL                   ,1994,919990050.4896
BRAZIL                   ,1993,932368578.2786
BRAZIL                   ,1992,929774344.1624
CANADA                   ,1998,554665771.6047
CANADA                   ,1997,944372679.3631
CANADA                   ,1996,951828636.9087
CANADA                   ,1995,943045891.9749
CANADA                   ,1994,935515126.1882
CANADA                   ,1993,947203173.0290
CANADA                   ,1992,936499018.0850
CHINA                    ,1998,547678041.2964
CHINA                    ,1997,931694791.7587
CHINA                    ,1996,929049717.2464
CHINA                    ,1995,922240989.5753
CHINA                    ,1994,927753936.4064
CHINA                    ,1993,928152210.5747
CHINA                    ,1992,941299484.4768
EGYPT                    ,1998,547140963.0544
EGYPT                    ,1997,944294765.7823
EGYPT                    ,1996,944164354.6285
EGYPT                    ,1995,946749756.1561
EGYPT                    ,1994,946569313.1805
EGYPT                    ,1993,939583574.9638
EGYPT                    ,1992,948174538.9908
ETHIOPIA                 ,1998,540073838.7701
ETHIOPIA                 ,1997,923146073.6048
ETHIOPIA                 ,1996,929372446.1193
ETHIOPIA                 ,1995,929341437.5402
ETHIOPIA                 ,1994,938312407.0713
ETHIOPIA                 ,1993,932939758.1629
ETHIOPIA                 ,1992,934585823.9115
FRANCE                   ,1998,535075304.7641
FRANCE                   ,1997,922344848.5564
FRANCE                   ,1996,910576387.6177
FRANCE                   ,1995,916741666.7733
FRANCE                   ,1994,915471654.6122
FRANCE                   ,1993,908154184.0399
FRANCE                   ,1992,911376735.0499
GERMANY                  ,1998,564320024.7431
GERMANY                  ,1997,960998071.6249
GERMANY                  ,1996,962193539.6425
GERMANY                  ,1995,944443539.5818
GERMANY                  ,1994,962587099.6261
GERMANY                  ,1993,961540073.7821
GERMANY                  ,1992,962733750.1312
INDIA                    ,1998,549206765.0868
INDIA                    ,1997,934413961.0097
INDIA                    ,1996,935060592.5801
INDIA                    ,1995,931882733.2539
INDIA                    ,1994,942834613.4169
INDIA                    ,1993,949280309.6085
INDIA                    ,1992,935032464.6700
INDONESIA                ,1998,544641445.1934
INDONESIA                ,1997,938195449.4582
INDONESIA                ,1996,933148258.6931
INDONESIA                ,1995,932515254.0320
INDONESIA                ,1994,932146659.4122
INDONESIA                ,1993,930425360.0690
INDONESIA                ,1992,932023985.7054
IRAN                     ,1998,549573399.7730
IRAN                     ,1997,941130857.0273
IRAN                     ,1996,937823931.1706
IRAN                     ,1995,953397353.5728
IRAN                     ,1994,945172593.5136
IRAN                     ,1993,933442500.6878
IRAN                     ,1992,935950945.6990
IRAQ                     ,1998,543411887.2113
IRAQ                     ,1997,940780368.9929
IRAQ                     ,1996,938054137.3442
IRAQ                     ,1995,928284807.3655
IRAQ                     ,1994,942327977.6904
IRAQ                     ,1993,925588996.5663
IRAQ                     ,1992,939401832.6700
JAPAN                    ,1998,541213474.1902
JAPAN                    ,1997,937984976.2261
JAPAN                    ,1996,937826355.8119
JAPAN                    ,1995,940794732.0470
JAPAN                    ,1994,929346467.8849
JAPAN                    ,1993,937448416.3095
JAPAN                    ,1992,943418655.9958
JORDAN                   ,1998,532309963.8186
JORDAN                   ,1997,920305633.4646
JORDAN                   ,1996,914948284.9354
JORDAN                   ,1995,917848829.9349
JORDAN                   ,1994,918932168.6345
JORDAN                   ,1993,913886281.9674
JORDAN                   ,1992,920122601.5553
KENYA                    ,1998,552502498.7742
KENYA                    ,1997,934967601.4515
KENYA                    ,1996,940921357.4909
KENYA                    ,1995,939201158.8408
KENYA                    ,1994,942965705.8023
KENYA                    ,1993,935174984.9566
KENYA                    ,1992,936897230.8065
MOROCCO                  ,1998,550719696.7839
MOROCCO                  ,1997,932565001.5464
MOROCCO                  ,1996,954150735.8761
