ID,Cenário,Custo Pré-Otimização,Custo Pós-Otimização,Diferença (%)
1,1,"2.300.421,28","2.300.470,43",+0.00%
2,2,X,"460.703,48",-
3,3,"2.759.642,74","2.759.651,05",+0.00%
4,4,"1.966.917,66","2.150.221,72",+9.32%
5,5,"2.076.198,65","2.075.768,41",-0.02%
6,6,"1.690.714,71","1.690.822,80",+0.01%
7,7,"1.959.178,46","1.959.688,24",+0.03%
8,8,"1.946.549,58","1.013.476,80",-47.93%
9,9,"2.171.873,93","1.894.558,13",-12.77%
10,10,"2.112.311,96","1.338.225,83",-36.65%
11,11,"522.802,17","67.356,44",-87.12%
12,12,"2.181.245,02","590.317,18",-72.94%
13,13,"1.558.139,94","1.546.201,58",-0.77%
14,14,"1.583.196,12","1.479.854,32",-6.53%
15,15,"3.253.431,90","1.624.426,91",-50.07%
16,16,"430.894,44","533.960,07",+23.92%
17,17,N/A,"2.218.560,04",-
18,18,"6.568.904,73","2.434.032,03",-62.95%
19,19,"1.954.023,42","84.713,75",-95.66%
20,20,N/A,"2.837.379,77",-
21,21,N/A,"36.894.482,43",-
22,22,"455.530,06","425.734,59",-6.54%
