Output format is csv.
p_name,total_qty
burlywood plum powder puff mint,695
dark slate grey steel misty,643
puff pink lavender azure violet,595
linen dodger papaya lemon tomato,465
papaya smoke ghost turquoise brown,519
slate black medium azure medium,543
mint lime mint chartreuse seashell,766
metallic spring red chocolate brown,736
grey violet rose violet peru,528
medium metallic grey dodger linen,470
honeydew deep rosy sienna sienna,360
magenta burnished peach sienna lawn,537
powder hot metallic cornflower snow,742
brown cornsilk green peru almond,758
blanched seashell papaya steel spring,731
maroon moccasin orchid frosted lavender,454
firebrick chiffon misty blush sienna,507
lavender violet black dim gainsboro,519
indian aquamarine cyan firebrick salmon,857
green hot slate chartreuse dim,580
orchid khaki green ivory ivory,552
wheat cornflower maroon violet bisque,444
gainsboro ivory lemon gainsboro light,495
maroon maroon yellow sky peach,561
burnished pale bisque cornsilk beige,531
azure gainsboro azure maroon chocolate,479
slate lime almond lace misty,489
magenta firebrick honeydew peach lace,496
rose dark burnished turquoise metallic,403
sky magenta almond navy cyan,552
purple white misty aquamarine salmon,724
mint moccasin peach red plum,622
forest blue midnight turquoise medium,647
rosy sandy puff chartreuse orchid,517
cornsilk medium hot powder red,624
tomato thistle orchid blush cornflower,540
royal medium forest puff dark,537
blue pink goldenrod puff powder,498
dark chartreuse medium sky magenta,535
turquoise moccasin saddle indian bisque,703
peach grey drab gainsboro plum,713
dark beige lavender magenta antique,692
brown chocolate smoke lawn peru,681
rosy tan frosted almond linen,420
navajo powder tomato moccasin azure,483
red tomato blanched wheat puff,658
seashell aquamarine steel purple brown,668
aquamarine wheat snow white metallic,555
cyan plum ivory lawn salmon,628
pink sandy chartreuse firebrick magenta,401
saddle saddle lace sandy hot,792
navajo beige navy blue sandy,651
burnished rose puff bisque linen,492
ivory moccasin forest rose peru,707
coral lavender midnight peru brown,532
light royal chiffon thistle lemon,501
steel magenta snow sienna mint,778
sky green royal peach deep,610
frosted honeydew yellow smoke turquoise,531
salmon goldenrod cornflower chartreuse rosy,587
lavender rose ghost bisque grey,359
plum sky steel mint ghost,738
mint chocolate tomato lawn bisque,677
medium powder turquoise mint light,562
wheat magenta cornsilk turquoise rose,594
