Output format is csv.
l_orderkey,l_partkey,l_shipdate
3070240,107472,1998-11-30
4343618,123135,1998-11-30
3365891,47097,1998-11-30
3491141,189518,1998-11-30
4570343,194758,1998-11-30
3320549,176462,1998-11-30
2597027,97792,1998-11-30
483494,71995,1998-11-30
5361895,181518,1998-11-30
1996900,168347,1998-11-30
566373,154347,1998-11-30
3252480,17029,1998-11-30
277926,44597,1998-11-30
2005252,14758,1998-11-30
1109572,147096,1998-11-30
5672741,72844,1998-11-30
1363333,29556,1998-11-30
4123014,6986,1998-11-30
4721607,179732,1998-11-30
2015043,85079,1998-11-30
136419,146439,1998-11-29
767363,9405,1998-11-29
4527236,155768,1998-11-29
24514,74664,1998-11-29
401377,133739,1998-11-29
4310951,102235,1998-11-29
3427719,145763,1998-11-29
53637,186748,1998-11-29
3271138,193344,1998-11-29
3154560,181997,1998-11-29
319491,194153,1998-11-29
2872005,198220,1998-11-29
1438721,51267,1998-11-29
4310951,191132,1998-11-29
4420452,65140,1998-11-29
5719299,78491,1998-11-29
2495297,98400,1998-11-29
1402375,84386,1998-11-29
4460583,116248,1998-11-29
5882083,103829,1998-11-29
357792,78878,1998-11-29
5581441,51712,1998-11-29
4570343,178623,1998-11-29
5678468,134942,1998-11-29
3718272,161440,1998-11-29
3365891,91592,1998-11-29
4922305,17654,1998-11-29
2555170,195144,1998-11-29
2555170,170973,1998-11-29
2072743,122785,1998-11-29
1788643,15465,1998-11-29
4396613,4059,1998-11-29
2335879,89658,1998-11-29
5599331,7814,1998-11-29
2664320,67370,1998-11-29
5877190,147941,1998-11-29
5256963,107285,1998-11-29
438309,67167,1998-11-29
3105539,94979,1998-11-29
5438592,50306,1998-11-29
4251489,117124,1998-11-29
4360832,11590,1998-11-29
3282656,175396,1998-11-28
1738497,118133,1998-11-28
2424519,178181,1998-11-28
4505889,67073,1998-11-28
4148611,113672,1998-11-28
2917089,189702,1998-11-28
727686,131776,1998-11-28
222307,194957,1998-11-28
727686,121857,1998-11-28
162212,61261,1998-11-28
4891875,51203,1998-11-28
204932,141042,1998-11-28
1695555,96049,1998-11-28
3977220,130979,1998-11-28
4368193,191374,1998-11-28
5108964,119476,1998-11-28
2203714,82056,1998-11-28
3343393,173023,1998-11-28
3686500,80763,1998-11-28
1148961,99474,1998-11-28
2837954,46399,1998-11-28
3560711,157378,1998-11-28
4339651,146613,1998-11-28
2734823,126759,1998-11-28
2747904,72849,1998-11-28
320679,36404,1998-11-28
3415426,185343,1998-11-28
361126,104083,1998-11-28
721188,87166,1998-11-28
5058087,13070,1998-11-28
4510080,177721,1998-11-28
4299492,125667,1998-11-28
2214501,148578,1998-11-28
5872390,94339,1998-11-28
2085858,114471,1998-11-28
3629280,80935,1998-11-28
2130240,47507,1998-11-28
5743937,153575,1998-11-28
