Output format is csv.
o_orderkey,o_orderpriority
2,1-URGENT
3,1-URGENT
4,4-NOT SPECIFIED
7,1-URGENT
32,1-URGENT
33,1-URGENT
34,1-URGENT
36,1-URGENT
37,1-URGENT
38,1-URGENT
39,3-MEDIUM
64,2-HIGH
65,3-MEDIUM
66,4-NOT SPECIFIED
68,3-MEDIUM
70,2-HIGH
71,3-MEDIUM
96,1-URGENT
97,3-MEDIUM
98,5-LOW
100,1-URGENT
128,1-URGENT
130,1-URGENT
131,2-HIGH
160,1-URGENT
162,3-MEDIUM
163,1-URGENT
164,1-URGENT
166,4-NOT SPECIFIED
193,1-URGENT
195,4-NOT SPECIFIED
196,1-URGENT
198,4-NOT SPECIFIED
225,5-LOW
228,3-MEDIUM
231,1-URGENT
256,2-HIGH
257,1-URGENT
259,1-URGENT
262,1-URGENT
263,1-URGENT
288,5-LOW
289,1-URGENT
290,5-LOW
292,1-URGENT
293,5-LOW
294,5-LOW
321,1-URGENT
322,5-LOW
323,5-LOW
324,3-MEDIUM
326,4-NOT SPECIFIED
327,3-MEDIUM
352,1-URGENT
353,4-NOT SPECIFIED
357,3-MEDIUM
358,2-HIGH
359,1-URGENT
384,2-HIGH
387,2-HIGH
390,4-NOT SPECIFIED
417,1-URGENT
418,5-LOW
419,2-HIGH
420,2-HIGH
421,1-URGENT
449,5-LOW
451,2-HIGH
452,5-LOW
455,3-MEDIUM
480,3-MEDIUM
481,5-LOW
484,1-URGENT
485,2-HIGH
512,5-LOW
513,1-URGENT
514,1-URGENT
515,4-NOT SPECIFIED
517,1-URGENT
518,5-LOW
519,1-URGENT
544,4-NOT SPECIFIED
546,3-MEDIUM
547,2-HIGH
548,2-HIGH
549,5-LOW
576,2-HIGH
577,1-URGENT
578,3-MEDIUM
579,3-MEDIUM
582,3-MEDIUM
609,4-NOT SPECIFIED
611,1-URGENT
612,5-LOW
613,5-LOW
641,5-LOW
642,1-URGENT
643,3-MEDIUM
644,5-LOW
645,1-URGENT
646,2-HIGH
672,1-URGENT
673,4-NOT SPECIFIED
675,4-NOT SPECIFIED
676,1-URGENT
677,2-HIGH
678,1-URGENT
679,1-URGENT
704,3-MEDIUM
705,2-HIGH
706,5-LOW
707,1-URGENT
709,4-NOT SPECIFIED
710,2-HIGH
736,3-MEDIUM
739,3-MEDIUM
740,3-MEDIUM
768,1-URGENT
769,5-LOW
770,3-MEDIUM
772,5-LOW
774,2-HIGH
775,2-HIGH
802,4-NOT SPECIFIED
804,2-HIGH
832,1-URGENT
833,3-MEDIUM
835,3-MEDIUM
838,1-URGENT
839,3-MEDIUM
865,5-LOW
867,1-URGENT
868,1-URGENT
870,4-NOT SPECIFIED
871,1-URGENT
897,5-LOW
898,1-URGENT
899,4-NOT SPECIFIED
900,1-URGENT
901,3-MEDIUM
902,4-NOT SPECIFIED
903,4-NOT SPECIFIED
928,2-HIGH
929,1-URGENT
931,1-URGENT
933,1-URGENT
935,2-HIGH
961,3-MEDIUM
963,5-LOW
965,4-NOT SPECIFIED
993,1-URGENT
994,1-URGENT
995,2-HIGH
997,2-HIGH
1025,5-LOW
1026,1-URGENT
1028,1-URGENT
1029,3-MEDIUM
1031,3-MEDIUM
1058,3-MEDIUM
1059,1-URGENT
1060,5-LOW
1062,1-URGENT
1088,1-URGENT
1090,5-LOW
1091,1-URGENT
1092,2-HIGH
1094,5-LOW
1121,3-MEDIUM
1123,1-URGENT
1125,2-HIGH
1126,2-HIGH
1127,5-LOW
1153,1-URGENT
1154,4-NOT SPECIFIED
1155,3-MEDIUM
1156,2-HIGH
1157,1-URGENT
1158,2-HIGH
1184,3-MEDIUM
1185,1-URGENT
1186,3-MEDIUM
1188,3-MEDIUM
1189,5-LOW
1191,5-LOW
1216,5-LOW
1217,5-LOW
1218,3-MEDIUM
1221,1-URGENT
1223,1-URGENT
1251,5-LOW
1252,2-HIGH
1254,5-LOW
1281,3-MEDIUM
1282,2-HIGH
1284,3-MEDIUM
1285,3-MEDIUM
1286,3-MEDIUM
1312,2-HIGH
1313,2-HIGH
1314,1-URGENT
1317,5-LOW
1318,1-URGENT
1345,4-NOT SPECIFIED
1346,1-URGENT
1347,1-URGENT
1348,3-MEDIUM
1349,2-HIGH
1350,4-NOT SPECIFIED
1351,3-MEDIUM
1377,4-NOT SPECIFIED
1381,1-URGENT
1382,4-NOT SPECIFIED
1383,4-NOT SPECIFIED
1409,1-URGENT
1410,2-HIGH
1412,1-URGENT
1413,3-MEDIUM
1415,4-NOT SPECIFIED
1440,1-URGENT
1441,3-MEDIUM
1442,4-NOT SPECIFIED
1443,3-MEDIUM
1444,5-LOW
1445,3-MEDIUM
1446,4-NOT SPECIFIED
